lead_id,created_date,lead_source,company_size,industry,sales_rep,current_stage,mql_date,demo_booked_date,days_mql_to_demo_booked,demo_completed_date,trial_start_date,closed_date,deal_value,churned
L-0065,2026-02-05,Organic Search,Startup (1-10),EdTech,James Chen,MQL,2026-02-06,,,,,,0.0,False
L-0066,2026-01-20,Paid Ads,SMB (11-50),FinTech,Alex Thompson,Lead,,,,,,,0.0,False
L-0067,2026-01-29,Cold Outreach,SMB (11-50),SaaS,Maria Santos,Lead,,,,,,,0.0,False
L-0068,2025-06-01,Referral,Startup (1-10),Marketing,Tom Wilson,MQL,2025-06-06,,,,,,0.0,False
L-0069,2025-12-16,Paid Ads,SMB (11-50),EdTech,Maria Santos,MQL,2025-12-17,,,,,,0.0,False
L-0070,2026-03-29,LinkedIn,Startup (1-10),EdTech,Priya Patel,MQL,2026-03-31,,,,,,0.0,False
L-0071,2025-11-10,Cold Outreach,Startup (1-10),HR Tech,Priya Patel,Lead,,,,,,,0.0,False
L-0072,2025-08-21,Organic Search,SMB (11-50),SaaS,Maria Santos,Lead,,,,,,,0.0,False
L-0073,2025-04-15,Paid Ads,SMB (11-50),Logistics,Alex Thompson,Demo Completed,2025-04-18,2025-04-28,10.0,2025-04-30,,,0.0,False
L-0074,2025-12-07,Organic Search,Startup (1-10),SaaS,Priya Patel,MQL,2025-12-09,,,,,,0.0,False
L-0075,2025-08-29,Referral,SMB (11-50),FinTech,Maria Santos,Closed Won,2025-08-31,2025-09-03,3.0,2025-09-05,2025-09-09,2025-09-24,8766.46,False
L-0076,2025-07-20,Paid Ads,Mid-Market (51-200),E-commerce,James Chen,Lead,,,,,,,0.0,False
L-0077,2025-07-09,Paid Ads,SMB (11-50),Marketing,Maria Santos,Closed Lost,2025-07-12,2025-07-13,1.0,2025-07-13,2025-07-19,,0.0,False
L-0078,2026-01-19,Referral,Mid-Market (51-200),HealthTech,Maria Santos,Churned,2026-01-23,2026-01-25,2.0,2026-01-25,2026-01-29,2026-02-23,36883.37,True
L-0079,2025-08-06,Paid Ads,SMB (11-50),Marketing,Maria Santos,MQL,2025-08-10,,,,,,0.0,False
L-0080,2025-11-13,LinkedIn,Startup (1-10),Logistics,Priya Patel,MQL,2025-11-18,,,,,,0.0,False
L-0081,2026-02-15,Paid Ads,Mid-Market (51-200),HealthTech,James Chen,Demo Completed,2026-02-16,2026-02-18,2.0,2026-02-21,,,0.0,False
L-0082,2026-03-26,Organic Search,Startup (1-10),Marketing,Alex Thompson,Lead,,,,,,,0.0,False
L-0083,2026-03-05,Paid Ads,Startup (1-10),Marketing,Tom Wilson,Lead,,,,,,,0.0,False
L-0084,2025-08-15,Paid Ads,Startup (1-10),SaaS,James Chen,Lead,,,,,,,0.0,False
L-0085,2026-01-17,Paid Ads,Startup (1-10),Marketing,Tom Wilson,Lead,,,,,,,0.0,False
L-0086,2025-08-18,Organic Search,SMB (11-50),Marketing,Priya Patel,Closed Lost,2025-08-22,2025-09-02,11.0,2025-09-02,2025-09-08,,0.0,False
L-0087,2025-04-21,Organic Search,Enterprise (200+),Marketing,Tom Wilson,Lead,,,,,,,0.0,False
L-0088,2025-07-02,Paid Ads,SMB (11-50),HR Tech,Alex Thompson,Lead,,,,,,,0.0,False
L-0089,2025-09-26,Organic Search,Mid-Market (51-200),HealthTech,Priya Patel,MQL,2025-09-29,,,,,,0.0,False
L-0090,2026-03-06,LinkedIn,SMB (11-50),HR Tech,Alex Thompson,Lead,,,,,,,0.0,False
L-0091,2025-09-09,LinkedIn,SMB (11-50),HR Tech,Maria Santos,MQL,2025-09-10,,,,,,0.0,False
L-0092,2025-11-23,Organic Search,SMB (11-50),FinTech,Tom Wilson,Demo Completed,2025-11-25,2025-12-07,12.0,2025-12-08,,,0.0,False
L-0093,2026-02-17,Organic Search,Mid-Market (51-200),HealthTech,Maria Santos,MQL,2026-02-19,,,,,,0.0,False
L-0094,2025-07-25,Paid Ads,Startup (1-10),Logistics,Maria Santos,Lead,,,,,,,0.0,False
L-0095,2025-12-12,Cold Outreach,SMB (11-50),HealthTech,James Chen,Lead,,,,,,,0.0,False
L-0096,2025-11-28,Paid Ads,Mid-Market (51-200),Logistics,Priya Patel,Demo Booked,2025-12-03,2025-12-05,2.0,,,,0.0,False
L-0097,2025-12-16,LinkedIn,Startup (1-10),Logistics,Alex Thompson,Closed Lost,2025-12-17,2025-12-20,3.0,2025-12-21,2025-12-25,,0.0,False
L-0098,2025-07-06,Organic Search,SMB (11-50),HR Tech,Alex Thompson,Lead,,,,,,,0.0,False
L-0099,2025-09-10,Paid Ads,SMB (11-50),Logistics,Maria Santos,Lead,,,,,,,0.0,False
L-0100,2025-12-10,LinkedIn,Mid-Market (51-200),Logistics,James Chen,Lead,,,,,,,0.0,False
L-0101,2025-11-12,Paid Ads,Enterprise (200+),EdTech,Maria Santos,Demo Booked,2025-11-16,2025-11-27,11.0,,,,0.0,False
L-0102,2026-02-14,Paid Ads,Mid-Market (51-200),Marketing,Alex Thompson,Lead,,,,,,,0.0,False
L-0103,2026-02-15,Referral,Mid-Market (51-200),Logistics,Alex Thompson,MQL,2026-02-19,,,,,,0.0,False
L-0104,2025-05-17,Paid Ads,Startup (1-10),Marketing,James Chen,MQL,2025-05-18,,,,,,0.0,False
L-0105,2025-04-15,LinkedIn,Startup (1-10),E-commerce,Alex Thompson,Closed Lost,2025-04-16,2025-04-19,3.0,2025-04-20,2025-04-21,,0.0,False
L-0106,2025-06-13,Organic Search,Mid-Market (51-200),HR Tech,Tom Wilson,Closed Lost,2025-06-16,2025-06-28,12.0,2025-06-29,2025-07-02,,0.0,False
L-0107,2025-09-02,Paid Ads,Enterprise (200+),Marketing,Priya Patel,MQL,2025-09-06,,,,,,0.0,False
L-0108,2025-08-30,Paid Ads,SMB (11-50),EdTech,Tom Wilson,Lead,,,,,,,0.0,False
L-0109,2025-04-05,Paid Ads,Enterprise (200+),Logistics,Alex Thompson,Lead,,,,,,,0.0,False
L-0110,2025-12-11,Referral,Mid-Market (51-200),FinTech,Tom Wilson,Demo Completed,2025-12-14,2025-12-28,14.0,2025-12-29,,,0.0,False
L-0111,2026-02-16,Referral,Mid-Market (51-200),E-commerce,Maria Santos,MQL,2026-02-19,,,,,,0.0,False
L-0112,2025-08-30,Paid Ads,SMB (11-50),E-commerce,Maria Santos,Demo Completed,2025-09-03,2025-09-16,13.0,2025-09-18,,,0.0,False
L-0113,2025-09-21,Paid Ads,Mid-Market (51-200),HR Tech,Alex Thompson,Lead,,,,,,,0.0,False
L-0114,2026-01-11,Organic Search,Startup (1-10),SaaS,Priya Patel,Demo Completed,2026-01-15,2026-01-16,1.0,2026-01-18,,,0.0,False
L-0115,2025-11-28,LinkedIn,Enterprise (200+),HealthTech,James Chen,Demo Completed,2025-12-03,2025-12-09,6.0,2025-12-11,,,0.0,False
L-0116,2025-12-09,Paid Ads,Startup (1-10),FinTech,Alex Thompson,MQL,2025-12-11,,,,,,0.0,False
L-0117,2025-06-19,Paid Ads,SMB (11-50),Logistics,Tom Wilson,Lead,,,,,,,0.0,False
L-0118,2025-04-17,Referral,Mid-Market (51-200),Logistics,Alex Thompson,Closed Won,2025-04-19,2025-04-21,2.0,2025-04-23,2025-04-26,2025-05-06,46470.32,False
L-0119,2025-09-18,Paid Ads,Startup (1-10),FinTech,Maria Santos,MQL,2025-09-20,,,,,,0.0,False
L-0120,2025-07-20,Paid Ads,Mid-Market (51-200),SaaS,Tom Wilson,Lead,,,,,,,0.0,False
L-0121,2025-06-14,Paid Ads,Mid-Market (51-200),FinTech,Alex Thompson,Lead,,,,,,,0.0,False
L-0122,2025-06-07,Organic Search,Mid-Market (51-200),HealthTech,Maria Santos,MQL,2025-06-09,,,,,,0.0,False
L-0123,2025-12-26,Paid Ads,Startup (1-10),E-commerce,Priya Patel,Demo Completed,2025-12-27,2025-12-30,3.0,2025-12-31,,,0.0,False
L-0124,2026-02-24,Paid Ads,Mid-Market (51-200),Marketing,Priya Patel,Lead,,,,,,,0.0,False
L-0125,2026-03-18,Paid Ads,SMB (11-50),Logistics,Priya Patel,Demo Completed,2026-03-22,2026-04-01,10.0,2026-04-03,,,0.0,False
L-0126,2025-12-28,Organic Search,Mid-Market (51-200),Logistics,Tom Wilson,Demo Completed,2026-01-02,2026-01-08,6.0,2026-01-09,,,0.0,False
L-0127,2025-10-30,Cold Outreach,SMB (11-50),HR Tech,Priya Patel,Lead,,,,,,,0.0,False
L-0128,2025-06-18,Paid Ads,SMB (11-50),Marketing,Alex Thompson,Lead,,,,,,,0.0,False
L-0129,2025-11-08,Organic Search,Startup (1-10),HealthTech,Maria Santos,MQL,2025-11-11,,,,,,0.0,False
L-0130,2025-10-28,Organic Search,SMB (11-50),EdTech,Maria Santos,MQL,2025-11-01,,,,,,0.0,False
L-0131,2025-05-24,LinkedIn,Enterprise (200+),Marketing,Alex Thompson,Closed Lost,2025-05-26,2025-06-03,8.0,2025-06-05,2025-06-08,,0.0,False
L-0132,2026-03-03,LinkedIn,Mid-Market (51-200),FinTech,Tom Wilson,Lead,,,,,,,0.0,False
L-0133,2025-09-27,Paid Ads,Startup (1-10),Marketing,Alex Thompson,MQL,2025-09-29,,,,,,0.0,False
L-0134,2025-12-28,Organic Search,Startup (1-10),FinTech,Maria Santos,Churned,2026-01-01,2026-01-03,2.0,2026-01-03,2026-01-05,2026-01-31,2579.14,True
L-0135,2025-08-18,Organic Search,SMB (11-50),HR Tech,Priya Patel,Demo Completed,2025-08-23,2025-08-27,4.0,2025-08-30,,,0.0,False
L-0136,2025-07-14,Paid Ads,Startup (1-10),FinTech,Maria Santos,MQL,2025-07-16,,,,,,0.0,False
L-0137,2025-12-11,LinkedIn,Startup (1-10),HealthTech,Maria Santos,Closed Lost,2025-12-13,2025-12-15,2.0,2025-12-17,2025-12-24,,0.0,False
L-0138,2026-01-20,Organic Search,SMB (11-50),HealthTech,Alex Thompson,MQL,2026-01-24,,,,,,0.0,False
L-0139,2025-06-27,Organic Search,Startup (1-10),FinTech,Alex Thompson,Lead,,,,,,,0.0,False
L-0140,2025-11-10,Referral,Mid-Market (51-200),EdTech,Maria Santos,Closed Won,2025-11-12,2025-11-16,4.0,2025-11-18,2025-11-25,2025-12-18,36996.74,False
L-0141,2025-07-30,Paid Ads,Mid-Market (51-200),EdTech,James Chen,Demo Booked,2025-08-02,2025-08-04,2.0,,,,0.0,False
L-0142,2026-02-24,Organic Search,Mid-Market (51-200),HR Tech,Tom Wilson,Demo Completed,2026-03-01,2026-03-04,3.0,2026-03-06,,,0.0,False
L-0143,2025-11-23,Organic Search,SMB (11-50),HealthTech,Alex Thompson,Demo Booked,2025-11-24,2025-11-30,6.0,,,,0.0,False
L-0144,2026-01-23,Paid Ads,SMB (11-50),Logistics,Priya Patel,Lead,,,,,,,0.0,False
L-0145,2026-02-28,LinkedIn,Enterprise (200+),HR Tech,Tom Wilson,Demo Booked,2026-03-05,2026-03-07,2.0,,,,0.0,False
L-0146,2026-02-25,LinkedIn,Enterprise (200+),HealthTech,Tom Wilson,MQL,2026-02-27,,,,,,0.0,False
L-0147,2025-10-08,Cold Outreach,SMB (11-50),E-commerce,Alex Thompson,Lead,,,,,,,0.0,False
L-0148,2025-05-04,Organic Search,Mid-Market (51-200),FinTech,Alex Thompson,MQL,2025-05-09,,,,,,0.0,False
L-0149,2025-05-12,Paid Ads,Mid-Market (51-200),E-commerce,Alex Thompson,Lead,,,,,,,0.0,False
L-0150,2026-01-30,Paid Ads,SMB (11-50),Logistics,James Chen,Lead,,,,,,,0.0,False
L-0151,2026-03-10,Paid Ads,SMB (11-50),EdTech,James Chen,Lead,,,,,,,0.0,False
L-0152,2025-12-17,Cold Outreach,Enterprise (200+),HealthTech,Priya Patel,Demo Completed,2025-12-20,2025-12-30,10.0,2025-12-31,,,0.0,False
L-0153,2026-01-02,Paid Ads,Startup (1-10),HealthTech,Tom Wilson,Lead,,,,,,,0.0,False
L-0154,2025-06-07,Cold Outreach,Startup (1-10),EdTech,Tom Wilson,Lead,,,,,,,0.0,False
L-0155,2025-04-23,Paid Ads,Startup (1-10),E-commerce,Priya Patel,MQL,2025-04-25,,,,,,0.0,False
L-0156,2025-12-30,Referral,Mid-Market (51-200),HR Tech,James Chen,MQL,2026-01-03,,,,,,0.0,False
L-0157,2025-08-23,Paid Ads,Mid-Market (51-200),HR Tech,Priya Patel,Lead,,,,,,,0.0,False
L-0158,2026-02-04,Organic Search,SMB (11-50),E-commerce,James Chen,Churned,2026-02-07,2026-02-11,4.0,2026-02-11,2026-02-18,2026-03-11,16863.67,True
L-0159,2025-09-26,Organic Search,Enterprise (200+),SaaS,Priya Patel,Lead,,,,,,,0.0,False
L-0160,2025-10-15,Organic Search,SMB (11-50),EdTech,James Chen,Lead,,,,,,,0.0,False
L-0161,2025-06-14,Organic Search,Startup (1-10),HealthTech,Alex Thompson,MQL,2025-06-17,,,,,,0.0,False
L-0162,2026-02-10,Organic Search,Mid-Market (51-200),HR Tech,Priya Patel,Closed Won,2026-02-11,2026-02-13,2.0,2026-02-16,2026-02-19,2026-03-01,19432.48,False
L-0163,2026-01-31,LinkedIn,SMB (11-50),HealthTech,Priya Patel,MQL,2026-02-05,,,,,,0.0,False
L-0164,2025-09-28,LinkedIn,Startup (1-10),FinTech,Tom Wilson,Demo Completed,2025-10-02,2025-10-15,13.0,2025-10-15,,,0.0,False
L-0165,2025-04-09,Organic Search,Mid-Market (51-200),EdTech,Alex Thompson,Demo Completed,2025-04-10,2025-04-24,14.0,2025-04-24,,,0.0,False
L-0166,2026-02-18,Paid Ads,Mid-Market (51-200),HR Tech,Priya Patel,Demo Completed,2026-02-20,2026-02-24,4.0,2026-02-25,,,0.0,False
L-0167,2025-11-29,Paid Ads,SMB (11-50),Logistics,Tom Wilson,Demo Booked,2025-12-01,2025-12-02,1.0,,,,0.0,False
L-0168,2025-09-21,Organic Search,SMB (11-50),HR Tech,Priya Patel,Lead,,,,,,,0.0,False
L-0169,2025-11-04,Organic Search,SMB (11-50),Marketing,Maria Santos,MQL,2025-11-09,,,,,,0.0,False
L-0170,2025-09-15,Paid Ads,Startup (1-10),HealthTech,Maria Santos,Lead,,,,,,,0.0,False
L-0171,2026-03-20,Paid Ads,SMB (11-50),Logistics,James Chen,Closed Lost,2026-03-24,2026-04-07,14.0,2026-04-07,2026-04-13,,0.0,False
L-0172,2025-06-13,Organic Search,Mid-Market (51-200),E-commerce,Maria Santos,Lead,,,,,,,0.0,False
L-0173,2025-07-30,Referral,SMB (11-50),E-commerce,Maria Santos,Closed Won,2025-08-02,2025-08-03,1.0,2025-08-05,2025-08-12,2025-08-23,12353.52,False
L-0174,2025-07-05,Referral,Startup (1-10),HealthTech,Maria Santos,MQL,2025-07-09,,,,,,0.0,False
L-0175,2026-02-08,Paid Ads,Mid-Market (51-200),HR Tech,James Chen,Demo Booked,2026-02-12,2026-02-14,2.0,,,,0.0,False
L-0176,2026-03-30,Organic Search,Startup (1-10),EdTech,Alex Thompson,Demo Booked,2026-04-04,2026-04-11,7.0,,,,0.0,False
L-0177,2025-07-12,Referral,Mid-Market (51-200),SaaS,Maria Santos,MQL,2025-07-14,,,,,,0.0,False
L-0178,2026-01-08,Paid Ads,SMB (11-50),EdTech,Priya Patel,Demo Booked,2026-01-09,2026-01-13,4.0,,,,0.0,False
L-0179,2025-11-17,LinkedIn,Startup (1-10),EdTech,Maria Santos,Demo Booked,2025-11-22,2025-11-24,2.0,,,,0.0,False
L-0180,2025-06-24,Paid Ads,Startup (1-10),E-commerce,Alex Thompson,Demo Booked,2025-06-26,2025-06-29,3.0,,,,0.0,False
L-0181,2025-12-30,Organic Search,Startup (1-10),Marketing,Tom Wilson,Demo Completed,2026-01-01,2026-01-08,7.0,2026-01-10,,,0.0,False
L-0182,2025-04-24,Organic Search,Mid-Market (51-200),FinTech,Maria Santos,Lead,,,,,,,0.0,False
L-0183,2025-10-31,LinkedIn,Startup (1-10),SaaS,Tom Wilson,Demo Booked,2025-11-01,2025-11-04,3.0,,,,0.0,False
L-0184,2025-06-20,Referral,Startup (1-10),HealthTech,Maria Santos,Closed Won,2025-06-24,2025-06-27,3.0,2025-06-29,2025-07-06,2025-07-25,2870.76,False
L-0185,2025-08-15,Organic Search,SMB (11-50),HR Tech,Maria Santos,Demo Completed,2025-08-17,2025-08-28,11.0,2025-08-29,,,0.0,False
L-0186,2025-12-12,Cold Outreach,Mid-Market (51-200),SaaS,James Chen,Lead,,,,,,,0.0,False
L-0187,2025-05-17,Organic Search,Mid-Market (51-200),HR Tech,Maria Santos,Lead,,,,,,,0.0,False
L-0188,2025-09-28,Organic Search,Enterprise (200+),SaaS,Tom Wilson,Demo Booked,2025-10-01,2025-10-05,4.0,,,,0.0,False
L-0189,2025-10-05,Organic Search,Enterprise (200+),EdTech,Priya Patel,Demo Completed,2025-10-06,2025-10-08,2.0,2025-10-11,,,0.0,False
L-0190,2025-05-20,Paid Ads,Enterprise (200+),HealthTech,James Chen,MQL,2025-05-23,,,,,,0.0,False
L-0191,2025-04-21,Organic Search,Startup (1-10),Logistics,Tom Wilson,MQL,2025-04-23,,,,,,0.0,False
L-0192,2025-12-20,LinkedIn,SMB (11-50),E-commerce,Tom Wilson,Demo Completed,2025-12-25,2026-01-08,14.0,2026-01-10,,,0.0,False
L-0193,2025-04-09,Organic Search,SMB (11-50),Marketing,Priya Patel,MQL,2025-04-10,,,,,,0.0,False
L-0194,2025-11-29,Organic Search,Mid-Market (51-200),FinTech,Tom Wilson,Churned,2025-12-04,2025-12-05,1.0,2025-12-08,2025-12-14,2026-01-08,46446.16,True
L-0195,2026-03-20,Paid Ads,SMB (11-50),E-commerce,Priya Patel,MQL,2026-03-25,,,,,,0.0,False
L-0196,2025-12-22,Cold Outreach,Mid-Market (51-200),FinTech,James Chen,MQL,2025-12-25,,,,,,0.0,False
L-0197,2025-12-29,Organic Search,SMB (11-50),E-commerce,Priya Patel,Demo Booked,2026-01-01,2026-01-04,3.0,,,,0.0,False
L-0198,2026-03-27,Paid Ads,Startup (1-10),Marketing,Alex Thompson,Demo Booked,2026-03-31,2026-04-13,13.0,,,,0.0,False
L-0199,2025-09-24,Paid Ads,Startup (1-10),Logistics,Priya Patel,Lead,,,,,,,0.0,False
L-0200,2025-09-25,LinkedIn,Startup (1-10),Marketing,Maria Santos,Lead,,,,,,,0.0,False
L-0201,2026-01-01,Referral,Mid-Market (51-200),SaaS,James Chen,Closed Won,2026-01-06,2026-01-12,6.0,2026-01-13,2026-01-18,2026-02-01,19574.73,False
L-0202,2026-01-07,LinkedIn,Startup (1-10),E-commerce,Maria Santos,Lead,,,,,,,0.0,False
L-0203,2026-02-28,Paid Ads,Mid-Market (51-200),HR Tech,Priya Patel,Demo Completed,2026-03-03,2026-03-09,6.0,2026-03-09,,,0.0,False
L-0204,2025-10-21,Paid Ads,Enterprise (200+),E-commerce,Maria Santos,Lead,,,,,,,0.0,False
L-0205,2025-04-05,Paid Ads,Mid-Market (51-200),Marketing,Maria Santos,Demo Booked,2025-04-10,2025-04-13,3.0,,,,0.0,False
L-0206,2025-11-26,Organic Search,Enterprise (200+),E-commerce,Tom Wilson,Demo Completed,2025-11-27,2025-12-06,9.0,2025-12-08,,,0.0,False
L-0207,2026-02-22,Organic Search,Mid-Market (51-200),E-commerce,Tom Wilson,Lead,,,,,,,0.0,False
